name,description,retired,uuid
"Chikole Dispensary","Dispensary , Public Health Facility",0,ba17bf86-8d80-11d8-abbb-0024217bb78e
"Chikowa Health Centre (Blantyre)","Health Centre , Public Health Facility",0,ba17c0da-8d80-11d8-abbb-0024217bb78e
"Chikowa Health Centre (Lilongwe)","Health Centre , Public Health Facility",0,ba17c1c0-8d80-11d8-abbb-0024217bb78e
"Chikuse Health Centre","Health Centre , Public Health Facility",0,ba17c2a6-8d80-11d8-abbb-0024217bb78e
"Chikwawa District Health Office","District Health Office , Public Health Facility",0,ba17c38c-8d80-11d8-abbb-0024217bb78e
"Chikwawa District Hospital","District Hospital , Public Health Facility",0,ba17c468-8d80-11d8-abbb-0024217bb78e
"Chikwawa Health Area","Health Area , Public Administrative Unit",0,ba17c54e-8d80-11d8-abbb-0024217bb78e
"Chikwawa Health District","Health District , Public Administrative Unit",0,ba17c62a-8d80-11d8-abbb-0024217bb78e
"Chikweo Health Centre","Health Centre , Public Health Facility",0,ba17c9fe-8d80-11d8-abbb-0024217bb78e
"Chikwina Health Centre","Health Centre , Private Health Facility",0,ba17cae4-8d80-11d8-abbb-0024217bb78e
"Chilambwe Health Centre","Health Centre , Private Health Facility",0,ba17cbca-8d80-11d8-abbb-0024217bb78e
"Chileka Health Centre","Health Centre , Public Health Facility",0,ba17cca6-8d80-11d8-abbb-0024217bb78e
"Chileka Health Centre (Lilongwe)","Health Centre , Public Health Facility",0,ba17cd8c-8d80-11d8-abbb-0024217bb78e
"Chileka SDQ Health Centre (Blantyre)","Health Centre , Private Health Facility",0,ba17ce72-8d80-11d8-abbb-0024217bb78e
"Chilipa Health Centre (Mangochi)","Health Centre , Public Health Facility",0,ba17cf4e-8d80-11d8-abbb-0024217bb78e
"Chilipa Health Centre (Zomba)","Health Centre , Private Health Facility",0,ba17d034-8d80-11d8-abbb-0024217bb78e
"Chilobwe Majiga Health Centre","Health Centre , Public Health Facility",0,ba17d138-8d80-11d8-abbb-0024217bb78e
"Chilomoni Health Centre","Health Centre , Public Health Facility",0,ba17d228-8d80-11d8-abbb-0024217bb78e
"Chilumba Garrison Dispensary","Dispensary , Public Health Facility",0,ba17d318-8d80-11d8-abbb-0024217bb78e
"Chilumba Rural Hospital","Rural Hospital , Public Health Facility",0,ba17d3fe-8d80-11d8-abbb-0024217bb78e
"Chimaliro Health Centre","Health Centre , Public Health Facility",0,ba17d4e4-8d80-11d8-abbb-0024217bb78e
"Chimbalanga Health Centre","Health Centre , Public Health Facility",0,ba17d5ca-8d80-11d8-abbb-0024217bb78e
"Chimembe Health Centre","Health Centre , Public Health Facility",0,ba17d6b0-8d80-11d8-abbb-0024217bb78e
"Chimoto Health Centre","Health Centre , Public Health Facility",0,ba17d7a0-8d80-11d8-abbb-0024217bb78e
"Chimvu Health Centre","Health Centre , Public Health Facility",0,ba17dd4a-8d80-11d8-abbb-0024217bb78e
"Chimwala Dispensary","Dispensary , Private Health Facility",0,ba17de30-8d80-11d8-abbb-0024217bb78e
"Ching'Oma Dispensary","Dispensary , Public Health Facility",0,ba17df0c-8d80-11d8-abbb-0024217bb78e
"Chingale Health Centre","Health Centre , Public Health Facility",0,ba17dff2-8d80-11d8-abbb-0024217bb78e
"Chingazi Health Centre","Health Centre , Private Health Facility",0,ba17e0d8-8d80-11d8-abbb-0024217bb78e
"Chinguluwe Health Centre (Ntchisi)","Health Centre , Public Health Facility",0,ba17e1be-8d80-11d8-abbb-0024217bb78e
"Chinguluwe Health Centre (Salima)","Health Centre , Public Health Facility",0,ba17e75e-8d80-11d8-abbb-0024217bb78e
"Chinkhwiri Health Centre","Health Centre , Public Health Facility",0,ba17e844-8d80-11d8-abbb-0024217bb78e
"Chinsapo Dispensary","Dispensary , Private Health Facility",0,ba17e92a-8d80-11d8-abbb-0024217bb78e
"Chintheche Rural Hospital","Rural Hospital , Public Health Facility",0,ba181760-8d80-11d8-abbb-0024217bb78e
"Chinthembwe Health Centre","Health Centre , Private Health Facility",0,ba181db4-8d80-11d8-abbb-0024217bb78e
"Chinyama Health Centre","Health Centre , Public Health Facility",0,ba181f26-8d80-11d8-abbb-0024217bb78e
"Chioshya Health Centre","Health Centre , Public Health Facility",0,ba182098-8d80-11d8-abbb-0024217bb78e
"Chipho Health Centre","Health Centre , Private Health Facility",0,ba18abda-8d80-11d8-abbb-0024217bb78e
"Chipini Health Centre","Health Centre , Private Health Facility",0,ba18ad60-8d80-11d8-abbb-0024217bb78e
"Chipoka Health Centre","Health Centre , Public Health Facility",0,ba18b68e-8d80-11d8-abbb-0024217bb78e
"Chiponde Health Centre","Health Centre , Public Health Facility",0,ba18bcce-8d80-11d8-abbb-0024217bb78e
"Chipumi Health Centre","Health Centre , Public Health Facility",0,ba18c322-8d80-11d8-abbb-0024217bb78e
"Chipwaila Health Centre","Health Centre , Public Health Facility",0,ba18c944-8d80-11d8-abbb-0024217bb78e
"Chipwanya St Josephs Health Centre","Health Centre , Private Health Facility",0,ba18d7ae-8d80-11d8-abbb-0024217bb78e
"Chiradzulu District Health Office","District Health Office , Public Health Facility",0,ba18d8b2-8d80-11d8-abbb-0024217bb78e
"Chiradzulu District Hospital","District Hospital , Public Health Facility",0,ba18d9ac-8d80-11d8-abbb-0024217bb78e
"Chiradzulu Health Area","Health Area , Public Administrative Unit",0,ba18daba-8d80-11d8-abbb-0024217bb78e
"Chiradzulu Health District","Health District , Public Administrative Unit",0,ba18dbaa-8d80-11d8-abbb-0024217bb78e
"Chiringa Dispensary","Dispensary , Private Health Facility",0,ba18dca4-8d80-11d8-abbb-0024217bb78e
"Chiringa Maternity","Maternity , Public Health Facility",0,ba18dd9e-8d80-11d8-abbb-0024217bb78e
"Chisala Health Centre","Health Centre , Public Health Facility",0,ba18de8e-8d80-11d8-abbb-0024217bb78e
"Chisepo Health Centre","Health Centre , Public Health Facility",0,ba18df88-8d80-11d8-abbb-0024217bb78e
"Chisinga Dispensary","Dispensary , Public Health Facility",0,ba18e082-8d80-11d8-abbb-0024217bb78e
"Chisitu Health Centre","Health Centre , Public Health Facility",0,ba18e172-8d80-11d8-abbb-0024217bb78e
"Chitala Health Centre","Health Centre , Private Health Facility",0,ba18e262-8d80-11d8-abbb-0024217bb78e
"Chitedze Health Centre","Health Centre , Public Health Facility",0,ba18e35c-8d80-11d8-abbb-0024217bb78e
"Chitekesa Health Centre","Health Centre , Public Health Facility",0,ba18e456-8d80-11d8-abbb-0024217bb78e
"Chitera Health Centre","Health Centre , Public Health Facility",0,ba18e546-8d80-11d8-abbb-0024217bb78e
"Chitheka Health Centre","Health Centre , Public Health Facility",0,ba18e636-8d80-11d8-abbb-0024217bb78e
"Chithumba Maternity","Maternity , Public Health Facility",0,ba18e730-8d80-11d8-abbb-0024217bb78e
"Chitimba Health Centre","Health Centre , Public Health Facility",0,ba18e820-8d80-11d8-abbb-0024217bb78e
"Chitipa District Health Office","District Health Office , Public Health Facility",0,ba18e910-8d80-11d8-abbb-0024217bb78e
"Chitipa District Hospital","District Hospital , Public Health Facility",0,ba18ea0a-8d80-11d8-abbb-0024217bb78e
"Chitipa Health Area","Health Area , Public Administrative Unit",0,ba18eafa-8d80-11d8-abbb-0024217bb78e
"Chitipa Health District","Health District , Public Administrative Unit",0,ba18ebea-8d80-11d8-abbb-0024217bb78e
"Chitowo Health Centre","Health Centre , Public Health Facility",0,ba18ece4-8d80-11d8-abbb-0024217bb78e
"Chiumbangame Health Centre","Health Centre , Public Health Facility",0,ba18edd4-8d80-11d8-abbb-0024217bb78e
"Chiunjiza Health Centre","Health Centre , Public Health Facility",0,ba18eec4-8d80-11d8-abbb-0024217bb78e
"Chiwamba Health Centre","Health Centre , Public Health Facility",0,ba18efbe-8d80-11d8-abbb-0024217bb78e
"Chiwe Health Centre","Health Centre , Private Health Facility",0,ba18f0ae-8d80-11d8-abbb-0024217bb78e
"St Marys Health Centre (Chizumulo)","Health Centre , Private Health Facility",0,ba18f19e-8d80-11d8-abbb-0024217bb78e
"Choma Health Centre","Health Centre , Public Health Facility",0,ba18f28e-8d80-11d8-abbb-0024217bb78e
"Chonde Health Centre","Health Centre , Public Health Facility",0,ba18f388-8d80-11d8-abbb-0024217bb78e
"Chongoni Health Centre","Health Centre , Public Health Facility",0,ba18f482-8d80-11d8-abbb-0024217bb78e
"Chulu Health Centre","Health Centre , Public Health Facility",0,ba18f572-8d80-11d8-abbb-0024217bb78e
"City Assembly Dispensary","Dispensary , Private Health Facility",0,ba18f662-8d80-11d8-abbb-0024217bb78e
"Cobbe Barracks Hospital","Hospital , Public Health Facility",0,ba18f75c-8d80-11d8-abbb-0024217bb78e
"Dedza District Health Office","District Health Office , Public Health Facility",0,ba18f84c-8d80-11d8-abbb-0024217bb78e
"Dedza District Hospital","arv code:DZA",0,ba18f93c-8d80-11d8-abbb-0024217bb78e
"Dedza Health Area","Health Area , Public Administrative Unit",0,ba18fa36-8d80-11d8-abbb-0024217bb78e
"Dedza Health District","Health District , Public Administrative Unit",0,ba18fb26-8d80-11d8-abbb-0024217bb78e
"DGM Livingstonia Hospital","Hospital , Private Health Facility",0,ba18fc20-8d80-11d8-abbb-0024217bb78e
"Diamphwe Health Centre","Health Centre , Public Health Facility",0,ba18fd10-8d80-11d8-abbb-0024217bb78e
"Dickson Health Centre","Health Centre , Public Health Facility",0,ba18fe00-8d80-11d8-abbb-0024217bb78e
"Dolo Health Centre","Health Centre , Public Health Facility",0,ba18fefa-8d80-11d8-abbb-0024217bb78e
"Domasi Rural Hospital","Rural Hospital , Public Health Facility",0,ba18ffea-8d80-11d8-abbb-0024217bb78e
"Doviko Dispensary","Dispensary , Public Health Facility",0,ba1900e4-8d80-11d8-abbb-0024217bb78e
"Dowa District Health Office","District Health Office , Public Health Facility",0,ba1901d4-8d80-11d8-abbb-0024217bb78e
"Dowa District Hospital","District Hospital , Public Health Facility",0,ba1902ce-8d80-11d8-abbb-0024217bb78e
"Dowa Health Area","Health Area , Public Administrative Unit",0,ba1903c8-8d80-11d8-abbb-0024217bb78e
"Dowa Health District","Health District , Public Administrative Unit",0,ba1904b8-8d80-11d8-abbb-0024217bb78e
"Dwambazi Health Centre","Health Centre , Public Health Facility",0,ba1905a8-8d80-11d8-abbb-0024217bb78e
"Dwambazi Rural Hospital","Rural Hospital , Public Health Facility",0,ba1906ac-8d80-11d8-abbb-0024217bb78e
"Dwangwa Cane Growers Association Clinic","Health Centre , Private Health Facility",0,ba190850-8d80-11d8-abbb-0024217bb78e
"Dwangwa Health Centre","Dispensary , Public Health Facility",0,ba1909e0-8d80-11d8-abbb-0024217bb78e
"Dzalanyama Dispensary","Dispensary , Public Health Facility",0,ba190bf2-8d80-11d8-abbb-0024217bb78e
"Dzeleka Refugee Camp Health Centre","Health Centre , Public Health Facility",0,ba190d8c-8d80-11d8-abbb-0024217bb78e
"Dzenje Maternity","Maternity , Public Health Facility",0,ba190f26-8d80-11d8-abbb-0024217bb78e
"Dzenza Health Centre","Health Centre , Private Health Facility",0,ba1910c0-8d80-11d8-abbb-0024217bb78e
"Dzindevu Health Centre","Health Centre , Public Health Facility",0,ba19125a-8d80-11d8-abbb-0024217bb78e
"Dziwe Dispensary","Dispensary , Public Health Facility",0,ba199b76-8d80-11d8-abbb-0024217bb78e
"Dzonzi-Mvai Health Centre","Health Centre , Public Health Facility",0,ba199d24-8d80-11d8-abbb-0024217bb78e
"Dzoole Health Centre","Health Centre , Public Health Facility",0,ba199ec8-8d80-11d8-abbb-0024217bb78e
"Dzunje Dispensary","Dispensary , Public Health Facility",0,ba19a062-8d80-11d8-abbb-0024217bb78e
"Edingeni Rural Hospital","Rural Hospital , Public Health Facility",0,ba19a1fc-8d80-11d8-abbb-0024217bb78e
"Ehehleni Dispensary","Dispensary , Public Health Facility",0,ba19a396-8d80-11d8-abbb-0024217bb78e
"Ekwaiweni Dispensary","Dispensary , Public Health Facility",0,ba19a526-8d80-11d8-abbb-0024217bb78e
"Ekwendeni Hospital","Hospital , Private Health Facility",0,ba19a6c0-8d80-11d8-abbb-0024217bb78e
"Embangweni Hospital","Hospital , Private Health Facility",0,ba19a85a-8d80-11d8-abbb-0024217bb78e
"Emfeni Health Centre","Health Centre , Public Health Facility",0,ba19a9ea-8d80-11d8-abbb-0024217bb78e
"Emsizini Health Centre","Health Centre , Public Health Facility",0,ba19ab84-8d80-11d8-abbb-0024217bb78e
"Endindeni Health Centre","Health Centre , Public Health Facility",0,ba19ac88-8d80-11d8-abbb-0024217bb78e
"Engucwini Dispensary","Dispensary , Public Health Facility",0,ba19ad78-8d80-11d8-abbb-0024217bb78e
"Enukweni Mission Health Centre","Health Centre , Public Health Facility",0,ba19ae72-8d80-11d8-abbb-0024217bb78e
"Euthini Rural Hospital","Rural Hospital , Public Health Facility",0,ba19af62-8d80-11d8-abbb-0024217bb78e
"Falls Banja La Mtsogolo Dispensary","Dispensary , Private Health Facility",0,ba19b052-8d80-11d8-abbb-0024217bb78e
"Fulirwa Health Centre","Health Centre , Public Health Facility",0,ba19b14c-8d80-11d8-abbb-0024217bb78e
"Gaga Health Centre","Health Centre , Public Health Facility",0,ba19b246-8d80-11d8-abbb-0024217bb78e
"Ganya Maternity","Maternity , Private Health Facility",0,ba19b336-8d80-11d8-abbb-0024217bb78e
"Gawanani Health Centre","Health Centre , Private Health Facility",0,ba19b430-8d80-11d8-abbb-0024217bb78e
"Gogode Dispensary","Dispensary , Public Health Facility",0,ba19b552-8d80-11d8-abbb-0024217bb78e
"Gola Dispensary","Dispensary , Public Health Facility",0,ba19b64c-8d80-11d8-abbb-0024217bb78e
"Golomoti Health Centre","Health Centre , Public Health Facility",0,ba19b73c-8d80-11d8-abbb-0024217bb78e
"Gombe Maternity","Maternity , Public Health Facility",0,ba19b836-8d80-11d8-abbb-0024217bb78e
"Gowa Health Centre","Health Centre , Private Health Facility",0,ba19b930-8d80-11d8-abbb-0024217bb78e
"Guilleme St Michaels Health Centre","Health Centre , Private Health Facility",0,ba19ba20-8d80-11d8-abbb-0024217bb78e
"H Parker Sharp Dispensary","Dispensary , Private Health Facility",0,ba19bb10-8d80-11d8-abbb-0024217bb78e
"Hallena Oakley Ntambanyama Health Centre","Health Centre , Private Health Facility",0,ba19bc0a-8d80-11d8-abbb-0024217bb78e
"Hara Dispensary","Dispensary , Public Health Facility",0,ba19bcfa-8d80-11d8-abbb-0024217bb78e
"Hoho Health Centre","Health Centre , Public Health Facility",0,ba19bdea-8d80-11d8-abbb-0024217bb78e
"Iba Health Centre","Health Centre , Public Health Facility",0,ba19bee4-8d80-11d8-abbb-0024217bb78e
"Ifumbo Health Centre","Health Centre , Public Health Facility",0,ba19bfd4-8d80-11d8-abbb-0024217bb78e
"Iponga Health Centre","Health Centre , Public Health Facility",0,ba19c0c4-8d80-11d8-abbb-0024217bb78e
"Jalasi Health Centre","Health Centre , Public Health Facility",0,ba19c1b4-8d80-11d8-abbb-0024217bb78e
"Jenda Health Centre","Health Centre , Public Health Facility",0,ba19c2ae-8d80-11d8-abbb-0024217bb78e
"Kabudula Health Area","Health Area , Public Administrative Unit",0,ba19c39e-8d80-11d8-abbb-0024217bb78e
"Kabudula Rural Hospital","Rural Hospital , Public Health Facility",0,ba19c48e-8d80-11d8-abbb-0024217bb78e
"Kabuwa Health Centre","Health Centre , Public Health Facility",0,ba19c588-8d80-11d8-abbb-0024217bb78e
"Kabwafu Health Centre","Health Centre , Public Health Facility",0,ba19c678-8d80-11d8-abbb-0024217bb78e
"Kachale Health Centre","Health Centre , Public Health Facility",0,ba19c768-8d80-11d8-abbb-0024217bb78e
"Kachere Health Centre","Health Centre , Public Health Facility",0,ba19c862-8d80-11d8-abbb-0024217bb78e
"Kafele Health Centre","Health Centre , Public Health Facility",0,ba19c952-8d80-11d8-abbb-0024217bb78e
"Kafukule Health Centre","Health Centre , Public Health Facility",0,ba19ca42-8d80-11d8-abbb-0024217bb78e
"Kaigwazanga Health Centre","Health Centre , Public Health Facility",0,ba19cb32-8d80-11d8-abbb-0024217bb78e
"Kakoma Health Centre","Health Centre , Public Health Facility",0,ba19cc2c-8d80-11d8-abbb-0024217bb78e
"Kalemba Health Centre","Health Centre , Private Health Facility",0,ba19cd1c-8d80-11d8-abbb-0024217bb78e
"Kalembo Dispensary","Dispensary , Public Health Facility",0,ba19ce0c-8d80-11d8-abbb-0024217bb78e
"Kalikumbi Health Centre","Health Centre , Private Health Facility",0,ba19cf06-8d80-11d8-abbb-0024217bb78e
"Kalinde Dispensary","Dispensary , Public Health Facility",0,ba19cff6-8d80-11d8-abbb-0024217bb78e
"Kaloga Dispensary","Dispensary , Public Health Facility",0,ba19d0e6-8d80-11d8-abbb-0024217bb78e
"Kalulu Health Centre","Health Centre , Public Health Facility",0,ba19d1d6-8d80-11d8-abbb-0024217bb78e
"Kaluluma Rural Hospital","Rural Hospital , Public Health Facility",0,ba19d2c6-8d80-11d8-abbb-0024217bb78e
"Kambenje Health Centre","Health Centre , Public Health Facility",0,ba19d3c0-8d80-11d8-abbb-0024217bb78e
"Kamboni Health Centre","Health Centre , Public Health Facility",0,ba19d4b0-8d80-11d8-abbb-0024217bb78e
"Kameme Health Centre","Health Centre , Public Health Facility",0,ba19d596-8d80-11d8-abbb-0024217bb78e
"Kampanje Maternity","Maternity , Public Health Facility",0,ba19d690-8d80-11d8-abbb-0024217bb78e
"Kamphata Dispensary","Dispensary , Public Health Facility",0,ba19dc6c-8d80-11d8-abbb-0024217bb78e
"Kamsonga Health Centre","Health Centre , Public Health Facility",0,ba19dd5c-8d80-11d8-abbb-0024217bb78e
"Kamteteka Health Centre","Health Centre , Public Health Facility",0,ba19de4c-8d80-11d8-abbb-0024217bb78e
"Kamuzu Barracks Dispensary","Dispensary , Public Health Facility",0,ba19df3c-8d80-11d8-abbb-0024217bb78e
"Kamwe Health Centre","Health Centre , Public Health Facility",0,ba19e02c-8d80-11d8-abbb-0024217bb78e
"Kande Health Centre","Health Centre , Public Health Facility",0,ba19e126-8d80-11d8-abbb-0024217bb78e
"Kandeu Health Centre (Dispensary)","Dispensary , Public Health Facility",0,ba19e220-8d80-11d8-abbb-0024217bb78e
"Kang'oma Health Centre","Health Centre , Public Health Facility",0,ba19e310-8d80-11d8-abbb-0024217bb78e
"Kangolwa Health Centre","Health Centre , Public Health Facility",0,ba19e40a-8d80-11d8-abbb-0024217bb78e
"Kankao Health Centre","Health Centre , Private Health Facility",0,ba1a742e-8d80-11d8-abbb-0024217bb78e
"Kanyama Health Centre","Health Centre , Private Health Facility",0,ba1a7532-8d80-11d8-abbb-0024217bb78e
"Kanyezi Health Centre","Health Centre , Public Health Facility",0,ba1a762c-8d80-11d8-abbb-0024217bb78e
"Kanyimbi Dispensary","Dispensary , Public Health Facility",0,ba1a7730-8d80-11d8-abbb-0024217bb78e
"Kaombe Dispensary","Dispensary , Public Health Facility",0,ba1a782a-8d80-11d8-abbb-0024217bb78e
"Kapanga Health Centre","Health Centre , Public Health Facility",0,ba1a7910-8d80-11d8-abbb-0024217bb78e
"Kapelula Health Centre","Health Centre , Public Health Facility",0,ba1a7a00-8d80-11d8-abbb-0024217bb78e
"Kapenda Health Centre","Health Centre , Public Health Facility",0,ba1a7ae6-8d80-11d8-abbb-0024217bb78e
"Kapeni Health Centre","Health Centre , Public Health Facility",0,ba1a7bcc-8d80-11d8-abbb-0024217bb78e
"Kaphatenga Health Centre","Health Centre , Private Health Facility",0,ba1a7cb2-8d80-11d8-abbb-0024217bb78e
"Kaphuka Health Centre","Health Centre , Public Health Facility",0,ba1a7d98-8d80-11d8-abbb-0024217bb78e
"Kapichila (ESCOM) Health Centre","Health Centre , Private Health Facility",0,ba1a8342-8d80-11d8-abbb-0024217bb78e
"Kapili Health Centre","Health Centre , Private Health Facility",0,ba1a8432-8d80-11d8-abbb-0024217bb78e
"Kapire Health Centre","Health Centre , Private Health Facility",0,ba1a869e-8d80-11d8-abbb-0024217bb78e
"Kapiri Health Centre","Health Centre , Private Health Facility",0,ba1a878e-8d80-11d8-abbb-0024217bb78e
"Kaporo Rural Hospital","Rural Hospital , Public Health Facility",0,ba1a887e-8d80-11d8-abbb-0024217bb78e
"Karonga District Health Office","District Health Office , Public Health Facility",0,ba1a8978-8d80-11d8-abbb-0024217bb78e
"Karonga District Hospital","District Hospital , Public Health Facility",0,ba1a9076-8d80-11d8-abbb-0024217bb78e
"Karonga Health Area","Health Area , Public Administrative Unit",0,ba1a9166-8d80-11d8-abbb-0024217bb78e
"Karonga Health District","Health District , Public Administrative Unit",0,ba1a924c-8d80-11d8-abbb-0024217bb78e
"Kasalika Health Centre","Dispensary , Public Health Facility",0,ba1a9332-8d80-11d8-abbb-0024217bb78e
"Kaseye St Michaels Health Centre","Health Centre , Private Health Facility",0,ba1aae08-8d80-11d8-abbb-0024217bb78e
"Kasina Health Centre","Health Centre , Private Health Facility",0,ba1ab06a-8d80-11d8-abbb-0024217bb78e
"Kasinje Health Centre","Health Centre , Public Health Facility",0,ba1ab1fa-8d80-11d8-abbb-0024217bb78e
"Kasinthula Dispensary","Dispensary , Public Health Facility",0,ba1ab9a2-8d80-11d8-abbb-0024217bb78e
"Kasitu Dispensary","Dispensary , Private Health Facility",0,ba1abb14-8d80-11d8-abbb-0024217bb78e
